ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area
"157",MWI,Malawi,"1956",Chiradzulu,"22751",TA Mpama,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.73177847857,0.01251860426
"157",MWI,Malawi,"1956",Chiradzulu,"22752",TA Nchema,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.51510143312,0.00798066057
"157",MWI,Malawi,"1956",Chiradzulu,"22753",TA Nkalo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.58172281985,0.01111974302
"157",MWI,Malawi,"1957",Chitipa,"22754",Chitipa Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.11295003490,0.00070073294
"157",MWI,Malawi,"1957",Chitipa,"22755",Nyika N.P. - Chitipa,,,,,National Park,National Park,Unknown,Unknown,,1.30726038502,0.05575183012
"157",MWI,Malawi,"1957",Chitipa,"22756",TA Kameme,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.07328851622,0.03560634780
"157",MWI,Malawi,"1957",Chitipa,"22757",TA Mwabulambya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.67089564836,0.07798008285
"157",MWI,Malawi,"1957",Chitipa,"22758",TA Mwenemisuku,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28774072302,0.05384128312
"157",MWI,Malawi,"1957",Chitipa,"22759",TA Mwenewenya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.35310214912,0.06173743417
"157",MWI,Malawi,"1957",Chitipa,"22760",TA Nthalire,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.25596039677,0.05110922476
"157",MWI,Malawi,"1958",Dedza,"22761",Dedza Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.20799633861,0.00158983710
"157",MWI,Malawi,"1958",Dedza,"22762",Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,1.93730896792,0.11913368165
"157",MWI,Malawi,"1958",Dedza,"22763",SC Chauma,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.33184388730,0.00581026582
"157",MWI,Malawi,"1958",Dedza,"22764",SC Chilikumwendo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.80702940281,0.02024980239
"157",MWI,Malawi,"1958",Dedza,"22765",SC Kamenya Gwaza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.70168865814,0.01629011160
"157",MWI,Malawi,"1958",Dedza,"22766",TA Kachindamoto,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.12978212912,0.05804823026
"157",MWI,Malawi,"1958",Dedza,"22767",TA Kaphuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.08674396761,0.05117380968
"157",MWI,Malawi,"1958",Dedza,"22768",TA Kasumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.02594078417,0.04826955771
"157",MWI,Malawi,"1958",Dedza,"22769",TA Pemba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.79139017071,0.06788469191
"157",MWI,Malawi,"1958",Dedza,"22770",TA Tambala,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.03152936286,0.03994149633
"157",MWI,Malawi,"1959",Dowa,"22771",Dowa Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.09940144415,0.00046612368
"157",MWI,Malawi,"1959",Dowa,"22772",Mponela Urban,,,,,Urban,Urban,Unknown,Unknown,,0.12657411884,0.00087028430
"157",MWI,Malawi,"1959",Dowa,"22773",SC Chakhaza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.37763404677,0.06106949547
"157",MWI,Malawi,"1959",Dowa,"22774",SC Kayembe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.13744656495,0.03698390525
"157",MWI,Malawi,"1959",Dowa,"22775",SC Mkukula,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.07974997371,0.03217103253
"157",MWI,Malawi,"1959",Dowa,"22776",SC Mponela,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.89483539274,0.01332581759
"157",MWI,Malawi,"1959",Dowa,"22777",TA Chiwere,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28679091057,0.04375101052
"157",MWI,Malawi,"1959",Dowa,"22778",TA Dzoole,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28671233622,0.03012804034
"157",MWI,Malawi,"1959",Dowa,"22779",TA Msakambewa,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.30291170478,0.03707956614
"157",MWI,Malawi,"1960",Karonga,"22780",Karonga Town,,,,,Town,Town,Unknown,Unknown,,0.27469393926,0.00382520040
"157",MWI,Malawi,"1960",Karonga,"22781",Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,3.30676756786,0.41647476367
"157",MWI,Malawi,"1960",Karonga,"22782",Nyipa N. P. - Karonga,,,,,National Park,National Park,Unknown,Unknown,,1.50699401409,0.08662997659
"157",MWI,Malawi,"1960",Karonga,"22783",SC Mwakaboko,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.75671835993,0.02125561860
"157",MWI,Malawi,"1960",Karonga,"22784",SC Mwirang'ombe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.82164672011,0.01407460934
"157",MWI,Malawi,"1960",Karonga,"22785",TA Kilupula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.90049834537,0.02707200904
"157",MWI,Malawi,"1960",Karonga,"22786",TA Kyungu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.16057930256,0.12308596246
"157",MWI,Malawi,"1960",Karonga,"22787",TA Wasambo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.94086567675,0.02923954595
"157",MWI,Malawi,"1961",Kasungu,"22788",Kasungu Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.23433533259,0.00308649627
"157",MWI,Malawi,"1961",Kasungu,"22789",Kasungu National Park,,,,,National Park,National Park,Unknown,Unknown,,2.67757967285,0.19991586657
"157",MWI,Malawi,"1961",Kasungu,"22790",SC Chilowamatambe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.91340627660,0.02621623617
"157",MWI,Malawi,"1961",Kasungu,"22791",SC Chisikwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.29262311777,0.00389129691
"157",MWI,Malawi,"1961",Kasungu,"22792",SC Kawamba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.54782107420,0.05426038572
"157",MWI,Malawi,"1961",Kasungu,"22793",SC Lukwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.01414738529,0.02307091040
"157",MWI,Malawi,"1962",Lilongwe,"22806",SC Mtema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.70801846839,0.01419330776
"157",MWI,Malawi,"1962",Lilongwe,"22807",SC Njewa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.43849103848,0.00868322493
