"Year","Visit_date","District","School","Long","Lat","Test","Age","Num_sampled_Sh","Num_pos_Sh","Shprev","Num_sampled_Sman","Num_pos_Sman","Smanprev","Num_sampled_anySCH","Num_pos_anySCH","anySCHprev","Num_sampled_Asc","Num_pos_Asc","Ascprev","Num_sampled_Hkw","Num_pos_Hkw","Hkwprev","Num_sampled_Tri","Num_pos_Tri","Triprev","Num_sampled_anySTH","Num_pos_anySTH","anySTHprev"
2012,NA,"BLANTY","CHILOMONI L.E.A.",34.97821,-15.77874,"KK/UF","1014",31,5,0.161290322580645,31,0,0,31,5,0.161290322580645,30,0,NA,31,0,0,30,0,NA,31,0,0
2012,NA,"BLANTY","CHIMWAKHUNDA",35.01118,-15.826525,"KK/UF","1014",30,8,0.266666666666667,30,2,0.0666666666666667,30,8,0.266666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","CHIRIMBA PRIMARY SCHOOL",35.01835,-15.744475,"KK/UF","1014",30,4,0.133333333333333,30,2,0.0666666666666667,30,5,0.166666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","CHISAWANI",34.9611,-15.873945,"KK/UF","1014",30,8,0.266666666666667,30,0,0,30,8,0.266666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","CHIVUMBE",35.065725,-15.269865,"KK/UF","1114",30,10,0.333333333333333,30,2,0.0666666666666667,30,10,0.333333333333333,30,0,0,30,0,0,30,2,0.0666666666666667,30,2,0.0666666666666667
2012,NA,"BLANTY","ELIM PRIVATE PRIMARY SCH",35.029075,-15.76462,"KK/UF","1014",30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","GREEN ACRESS PRIVATE PRI",35.07921,-15.732825,"KK/UF","1013",30,2,0.0666666666666667,15,0,NA,30,2,0.0666666666666667,0,0,NA,15,0,NA,0,0,NA,30,0,0
2012,NA,"BLANTY","KACHANGA L E A",34.980545,-15.68579,"KK/UF","1014",33,7,0.212121212121212,33,3,0.0909090909090909,33,8,0.242424242424242,33,0,0,33,0,0,33,0,0,33,0,0
2012,NA,"BLANTY","KACHERE 1",34.93577,-15.588565,"KK/UF","1014",30,8,0.266666666666667,30,19,0.633333333333333,30,19,0.633333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","KANJEDZA PRIMARY",35.051335,-15.812685,"KK/UF","1014",30,7,0.233333333333333,30,0,0,30,7,0.233333333333333,30,2,0.0666666666666667,30,3,0.1,30,0,0,30,4,0.133333333333333
2012,NA,"BLANTY","KAPENI PRIMARY SCHOOL",35.039895,-15.83188,"KK/UF","1014",30,3,0.1,30,2,0.0666666666666667,30,4,0.133333333333333,30,0,0,30,0,0,28,0,NA,30,0,0
2012,NA,"BLANTY","KATETE 1 FP SCHOOL",35.019235,-15.210035,"KK/UF","1014",30,6,0.2,29,0,NA,30,6,0.2,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","LILANGWE F P SCHOOL",35.025385,-15.529755,"KK/UF","1014",30,8,0.266666666666667,30,2,0.0666666666666667,30,9,0.3,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","LIMBE PRIMARY",35.05498,-15.80926,"KK/UF","1014",30,6,0.2,30,0,0,30,6,0.2,30,2,0.0666666666666667,30,0,0,30,0,0,30,2,0.0666666666666667
2012,NA,"BLANTY","LUNZU CATHOLIC",35.01972,-15.648545,"KK/UF","1014",30,13,0.433333333333333,30,0,0,30,13,0.433333333333333,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"BLANTY","MAKATA CCAP SCHOOL",35.03978,-15.769615,"KK/UF","1014",30,5,0.166666666666667,29,0,NA,30,5,0.166666666666667,29,0,NA,30,0,0,29,0,NA,30,0,0
2012,NA,"BLANTY","MANYOWE F.P.",34.98288,-15.81084,"KK/UF","1014",30,5,0.166666666666667,30,2,0.0666666666666667,30,6,0.2,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"BLANTY","MAPAZI",35.089585,-15.697925,"KK/UF","1014",30,0,0,30,2,0.0666666666666667,30,2,0.0666666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","MATINDI PRIMARY SCHOOL",35.02467,-15.59331,"KK/UF","1014",30,14,0.466666666666667,30,6,0.2,30,15,0.5,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","MDEKA PRIMARY SCHOOL",34.936895,-15.47486,"KK/UF","1014",30,4,0.133333333333333,30,2,0.0666666666666667,30,5,0.166666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","MICHIRU L E A",34.950595,-15.698435,"KK/UF","1015",32,19,0.59375,32,3,0.09375,32,19,0.59375,32,0,0,32,2,0.0625,32,1,0.03125,32,2,0.0625
2012,NA,"BLANTY","MTENJERA PRIMARY SCHOOL",35.000575,-15.650115,"KK/UF","1214",30,9,0.3,30,0,0,30,9,0.3,30,0,0,30,3,0.1,30,0,0,30,3,0.1
2012,NA,"BLANTY","NAMAME",35.04102,-15.85518,"KK/UF","1114",32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0
2012,NA,"BLANTY","NANCHOLI",34.976045,-15.836465,"KK/UF","1014",30,4,0.133333333333333,30,0,0,30,4,0.133333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","NAOTCHA PRIMARY SCHOOL",35.00618,-15.83877,"KK/UF","1014",30,9,0.3,30,0,0,30,9,0.3,30,0,0,30,2,0.0666666666666667,29,0,NA,30,2,0.0666666666666667
2012,NA,"BLANTY","NAYIZI",35.089565,-15.840495,"KK/UF","1014",30,6,0.2,30,0,0,30,6,0.2,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","NDIRANDE LEA",35.04225,-15.78066,"KK/UF","1014",30,5,0.166666666666667,30,2,0.0666666666666667,30,6,0.2,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","NG'ONGA",35.023025,-15.549485,"KK/UF","1014",30,16,0.533333333333333,30,3,0.1,30,17,0.566666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","NGUMBE",35.00403,-15.695865,"KK/UF","1014",30,15,0.5,30,0,0,30,15,0.5,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","NKOLOKOTI PRIMARY SCHOOL",35.07583,-15.763085,"KK/UF","1014",30,6,0.2,30,2,0.0666666666666667,30,7,0.233333333333333,30,0,0,30,0,0,25,0,NA,30,0,0
2012,NA,"BLANTY","NTONDA",34.98443,-15.86157,"KK/UF","1014",30,5,0.166666666666667,30,0,0,30,5,0.166666666666667,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"BLANTY","ST PIUS BOYS",35.020185,-15.81682,"KK/UF","1013",30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","ST PIUS GIRLS PRIMARY",35.020185,-15.81682,"KK/UF","1014",30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"BLANTY","ST. MARIA GOLETI",35.07087,-15.802075,"KK/UF","1013",30,5,0.166666666666667,30,0,0,30,5,0.166666666666667,30,2,0.0666666666666667,30,0,0,30,0,0,30,2,0.0666666666666667
2012,NA,"BLANTY","ZINGWANGWA",35.01021,-15.821415,"KK/UF","1014",30,3,0.1,30,1,0.0333333333333333,30,3,0.1,30,1,0.0333333333333333,30,1,0.0333333333333333,30,0,0,30,1,0.0333333333333333
2012,NA,"CHIRAD","CHIKANGULU",35.280645,-15.783675,"KK/UF","1114",30,11,0.366666666666667,30,0,0,30,11,0.366666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","CHIMGALA",35.144125,-15.74703,"KK/UF","1114",30,10,0.333333333333333,30,0,0,30,10,0.333333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","CHIMWANKHUNDA",35.2486485,-15.71292,"KK/UF","1114",30,24,0.8,30,2,0.0666666666666667,30,24,0.8,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","CHIRADZULU URBAN PRIMARY",35.184215,-15.70157,"KK/UF","1014",30,3,0.1,30,0,0,30,3,0.1,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","CHODA",35.24663,-15.88366,"KK/UF","1014",30,16,0.533333333333333,19,2,NA,30,16,0.533333333333333,19,1,NA,30,1,0.0333333333333333,19,0,NA,30,1,0.0333333333333333
2012,NA,"CHIRAD","GOLOGOTA",25.40918,-25.40918,"KK/UF","1114",30,5,0.166666666666667,30,0,0,30,5,0.166666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","LILANGWE PRIMARY SCHOOL",35.14776,-15.571645,"KK/UF","1014",30,4,0.133333333333333,30,2,0.0666666666666667,30,5,0.166666666666667,30,2,0.0666666666666667,30,0,0,30,0,0,30,2,0.0666666666666667
2012,NA,"CHIRAD","MAIWA PRIMARY",35.20875,-15.72386,"KK/UF","1214",30,11,0.366666666666667,30,2,0.0666666666666667,30,11,0.366666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","MALAVI",35.14981,-15.83322,"KK/UF","1014",30,9,0.3,30,0,0,30,9,0.3,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","MALIRE",35.311995,-15.891715,"KK/UF","1114",30,12,0.4,30,3,0.1,30,13,0.433333333333333,30,0,0,30,0,0,30,0,0,30,0,0
