ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,prev_mean_sh_mean,prev_mean_sman_mean,prev_mean_anysch_mean,prev_mean_asc_mean,prev_mean_hkw_mean,prev_mean_tri_mean,prev_mean_anysth_mean,prev_mean_1_sh_mean,prev_mean_1_sman_mean,prev_mean_1_anysch_mean,prev_mean_1_asc_mean,prev_mean_1_hkw_mean,prev_mean_1_tri_mean,prev_mean_1_anysth_mean
157,MWI,Malawi,1954,Blantyre,22732,TA Lundu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.547821891,0.011323629,0.217636,0.07544,0.267951,0.004144,0.007214,0.00615,0.012051,0.063727,0.0103,0.068923,0.031093,0.015366,0.002893,0.043579
157,MWI,Malawi,1954,Blantyre,22733,TA Machinjili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.685427243,0.005999166,0.133265,0.035278,0.166266,0.004493,0.014407,0.006397,0.019149,0.038414,0.006442,0.03978,0.021197,0.058343,0.002947,0.093398
157,MWI,Malawi,1954,Blantyre,22734,TA Makata,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.477201797,0.005003404,0.220508,0.059753,0.244182,0.007018,0.011253,0.007001,0.019235,0.063197,0.019315,0.071387,0.044533,0.016134,0.002379,0.057207
157,MWI,Malawi,1954,Blantyre,22735,TA Somba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.849448,0.021355533,0.223911,0.024327,0.24192,0.002924,0.0227,0.005825,0.022141,0.038781,0.009611,0.045344,0.010417,0.007097,0.00301,0.016403
157,MWI,Malawi,1955,Chikwawa,22736,Chikwawa Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.126849466,0.000709559,0.298664,0.107234,0.365887,0.000487,0.01793,0.008675,0.01582,0.181099,0.00921,0.186622,0.007925,0.007804,0.003984,0.014312
157,MWI,Malawi,1955,Chikwawa,22737,Lengwe National Park,,,,,National Park,National Park,Unknown,Unknown,,2.059772605,0.080047644,0.240461,0.080788,0.311093,0.000521,0.013828,0.003777,0.015593,0.112792,0.008742,0.12166,0.010138,0.009413,0.002887,0.017098
157,MWI,Malawi,1955,Chikwawa,22738,Majete Game Reserve - Chikwawa,,,,,Reserve,Reserve,Unknown,Unknown,,1.274577801,0.070735301,0.291081,0.079012,0.339364,0.000972,0.016158,0.005498,0.015382,0.103075,0.012564,0.113644,0.014316,0.010686,0.003182,0.022774
157,MWI,Malawi,1955,Chikwawa,22740,TA Chapananga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.967746235,0.069072031,0.340121,0.066435,0.395893,0.000778,0.013106,0.003835,0.013657,0.117581,0.009995,0.1277,0.012255,0.010499,0.002964,0.020113
157,MWI,Malawi,1955,Chikwawa,22741,TA Kasisi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.079397013,0.031276493,0.284943,0.085898,0.332523,0.000911,0.020536,0.007869,0.017632,0.113042,0.012364,0.122968,0.010412,0.009518,0.003465,0.017786
157,MWI,Malawi,1955,Chikwawa,22742,TA Katunga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.700332431,0.013613737,0.278054,0.105434,0.350832,0.000457,0.016066,0.006952,0.015831,0.16972,0.010704,0.176986,0.009386,0.009005,0.004005,0.018922
