"Year","District","School","Long","Lat","Test","Age","Shprev","Smanprev","anySCHprev"
2017,"DEDZA","Mchezime R.C School",34.52217016,-14.13361671,"KK/UF","1014",0,0,0
2017,"DEDZA","Mganja School",34.52074464,-14.41619077,"KK/UF","1014",0.1,0,0.1
2017,"DEDZA","Mgawi 2 School",34.26694249,-13.98588913,"KK/UF","1014",0.133333333333333,0.1,0.233333333333333
2017,"DEDZA","Mkomba School",34.22820013,-14.12337393,"KK/UF","1013",0,0.233333333333333,0.233333333333333
2017,"DEDZA","Mtonya FP School",34.4363404,-14.39870476,"KK/UF","1012",0,0,0
2017,"DEDZA","Ngoni School",34.5674595,-14.35846393,"KK/UF","1014",0,0,0
2017,"DEDZA","Nsinda School",34.15689691,-14.21292093,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"DEDZA","Tapezana School",34.5810835,-14.37627668,"KK/UF","1014",0,0,0
2017,"DEDZA","Tsanya School",34.61505263,-14.38118961,"KK/UF","1013",0.1,0.0333333333333333,0.133333333333333
2017,"DOWA","Banga School",34.2751622,-13.70627075,"KK/UF","1014",0,0,0
2017,"DOWA","Chilima School",33.81720762,-13.57912823,"KK/UF","1014",0,0,0
2017,"DOWA","Daimoni School",33.53416025,-13.64205096,"KK/UF","1014",0,0,0
2017,"DOWA","Dowa 2 School",33.92911506,-13.65465901,"KK/UF","1013",0,0,0
2017,"DOWA","James FP School",33.99829028,-13.63633688,"KK/UF","1014",0,0,0
2017,"DOWA","Kasumba School",34.1146,-13.64365,"KK/UF","1014",0,0,0
2017,"DOWA","Katundu",34.03031394,-13.79505626,"KK/UF","1015",0,0,0
2017,"DOWA","Kavuu School",34.09386699,-13.54653594,"KK/UF","1013",0,0,0
2017,"DOWA","Kawangwi School",34.25429428,-13.75170312,"KK/UF","1014",0.1,0,0.1
2017,"DOWA","Kayembe School",33.58295543,-13.64447518,"KK/UF","1014",0,0,0
2017,"DOWA","Milore School",33.50933218,-13.54863332,"KK/UF","1014",0.0344827586206897,0,0.0344827586206897
2017,"DOWA","Miwale",33.82468175,-13.49734822,"KK/UF","1014",0,0,0
2017,"DOWA","Mnkhamanga School",33.67662111,-13.48555473,"KK/UF","1013",0,0,0
2017,"DOWA","Mpangiseni School",33.97932783,-13.68165266,"KK/UF","1014",0,0,0
2017,"DOWA","Mpatawadzombe School",33.92637324,-13.53708007,"KK/UF","1014",0,0,0
2017,"DOWA","Mundundu School",33.52605132,-13.69704727,"KK/UF","1014",0,0,0
2017,"DOWA","Nalikonda School",33.65967675,-13.61879414,"KK/UF","1014",0,0,0
2017,"DOWA","Nalunga School",34.06562374,-13.64023087,"KK/UF","1013",0.0333333333333333,0,0.0333333333333333
2017,"DOWA","Namwiri/Aimalandiwo School",33.74591268,-13.61359473,"KK/UF","1014",0.0344827586206897,0,0.0344827586206897
2017,"DOWA","Pheleni School",34.01325951,-13.71687994,"KK/UF","1014",0,0,0
2017,"DOWA","St Francis",33.60625269,-13.40779795,"KK/UF","1114",0,0,0
2017,"DOWA","Tsikiti L E A  School",34.15906779,-13.79550368,"KK/UF","1014",0,0.0666666666666667,0.0666666666666667
2017,"KARONGA","Baka",33.92246407,-9.93539449,"KK/UF","1015",0,0,0
2017,"KARONGA","Chimati School",NA,NA,"KK/UF","1014",0.172413793103448,0,0.172413793103448
2017,"KARONGA","Chinsogholo School",33.98408324,-10.08872625,"KK/UF","1015",0,0,0
2017,"KARONGA","Doroba",34.12706209,-10.43342145,"KK/UF","1014",0.0333333333333333,0.0344827586206897,0.0666666666666667
2017,"KARONGA","Fulirwa School",34.09803304,-10.44789983,"KK/UF","1014",0.0344827586206897,0,0.0344827586206897
2017,"KARONGA","Fwira",33.89112509,-9.800736298,"KK/UF","1014",0.1,0,0.1
2017,"KARONGA","K and K",33.92829922,-9.940838941,"KK/UF","1013",0,0,0
2017,"KARONGA","Kafa Private",33.86769005,-9.742950076,"KK/UF","0915",0.113636363636364,0.0227272727272727,0.113636363636364
2017,"KARONGA","Kafulu",33.82713626,-9.754670287,"KK/UF","1014",0,0.178571428571429,0.172413793103448
2017,"KARONGA","Karonga Old Mission 1 School",33.93992545,-9.95110873,"KK/UF","1013",0,0,0
2017,"KARONGA","Kasantha",33.83966003,-9.742996725,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KARONGA","Lulindo School",33.93299129,-9.937072732,"KK/UF","1013",0,0,0
2017,"KARONGA","Matatula School",34.16598403,-10.35520432,"KK/UF","1014",0,0,0
2017,"KARONGA","Mbande Primary School",33.83227086,-9.952328516,"KK/UF","0812",0,0,0
2017,"KARONGA","Mlare School",34.04331937,-10.17409179,"KK/UF","1013",0,0,0
2017,"KARONGA","Ngerenge Primary School",33.85071444,-9.812900172,"KK/UF","1013",0,0.0666666666666667,0.0666666666666667
2017,"KARONGA","Nyungwe School",34.10649265,-10.28819302,"KK/UF","1014",0,0.0333333333333333,0.0333333333333333
2017,"KARONGA","Phapa School",34.16073108,-10.29274796,"KK/UF","1015",0.0666666666666667,0,0.0666666666666667
2017,"KARONGA","St Joseph Primary School",33.82860034,-10.02939075,"KK/UF","1014",0.0344827586206897,0,0.0344827586206897
2017,"KARONGA","The Kings Institute Of Education Foundtion",33.89463,-9.95644,"KK/UF","1010",0,0,0
2017,"KARONGA","Tilora School",34.17233828,-10.32607066,"KK/UF","1012",0,0,0
2017,"KASUNGU","Chakhala School",33.3514492,-13.32334699,"KK/UF","1014",0.1,0,0.1
2017,"KASUNGU","Chalizya School",33.65085271,-12.85438511,"KK/UF","1014",0.366666666666667,0,0.366666666666667
2017,"KASUNGU","Chalowa School",33.36681958,-13.07601781,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Chamatete School",33.36653028,-13.17969884,"KK/UF","1014",0,0,0
2017,"KASUNGU","Changuluwe",33.31709009,-13.09799603,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Chanjobvu School",33.45086978,-12.71146134,"KK/UF","1015",0.1,0,0.1
2017,"KASUNGU","Chasato School",33.63862445,-13.21406633,"KK/UF","1013",0.1,0,0.1
2017,"KASUNGU","Chatalala School",33.48865092,-13.32473217,"KK/UF","0611",0.0833333333333333,0,0.0833333333333333
2017,"KASUNGU","Chidongo School",33.37602183,-13.04369691,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Chimwaye School",33.66203598,-13.1145725,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Chinguwo School",33.57175594,-13.17233899,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"KASUNGU","Chipata School",33.55298601,-12.57062093,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Empundwini School",33.53731838,-12.54129411,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"KASUNGU","Gogo",33.08831936,-13.32431665,"KK/UF","1014",0.3,0,0.3
2017,"KASUNGU","Kachembwe School",NA,NA,"KK/UF","1013",0.1,0.0333333333333333,0.133333333333333
2017,"KASUNGU","Kambira School",33.78948144,-12.82369204,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Kamwala LEA School",33.52384524,-13.0376415,"KK/UF","1014",0.0689655172413793,0,0.0689655172413793
2017,"KASUNGU","Kasambankhole School",33.69459103,-12.73649808,"KK/UF","1014",0.2,0,0.2
2017,"KASUNGU","Katunda School",33.70184838,-12.96299193,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"KASUNGU","Mayala School",33.61903994,-13.1912036,"KK/UF","0611",0.0272727272727273,0.00909090909090909,0.0363636363636364
2017,"KASUNGU","Misozi School",33.34187187,-13.2954374,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"KASUNGU","Nkhakama School",33.48922177,-12.43034766,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"MACHINGA","Chinguni School",35.2687582,-15.07123651,"KK/UF","1014",0.172413793103448,0,0.172413793103448
2017,"MACHINGA","Chisese School",35.76365419,-14.80076464,"KK/UF","1114",0.1,0,0.1
2017,"MACHINGA","Chiuta School",35.84161216,-14.74856269,"KK/UF","1114",0.266666666666667,0,0.266666666666667
2017,"MACHINGA","Daimani School",35.63485025,-14.92806645,"KK/UF","1014",0.1,0,0.1
